"NAME","ZIP","asset_size","MAINOFF","CERT","OFFNAME"
"The Bank Of Commerce","34236","211235.0","1","35451","The Bank Of Commerce"
"Hometown Bank Of Corbin, Inc.","40702","144021.0","1","35455","Hometown Bank Of Corbin, Inc."
"1st Colonial Community Bank","8108","435753.0","1","35456","1st Colonial Community Bank"
"Select Bank & Trust Company","28335","741846.0","1","35465","Select Bank & Trust Company"
"Tomatobank","91801","451875.0","1","35474","Tomatobank"
"Lafayette Community Bank","47901","159375.0","1","35476","Lafayette Community Bank"
"Citizens First Bank","52732","176731.0","1","35477","Citizens First Bank"
"Mariners Bank","7020","274435.0","1","35479","Mariners Bank"
"Crown Bank","55435","203710.0","1","35480","Crown Bank"
"Western Heritage Bank","88005","97227.0","1","35492","Western Heritage Bank"
"Proficio Bank","84047","129312.0","1","35495","Proficio Bank"
"Quaint Oak Bank","18966","166453.0","1","35497","Quaint Oak Bank"
"Banc Of California, N.A.","92612","6428629.0","1","35498","Banc Of California, N.A."
"Davidson Trust Co.","59401","6331.0","1","35510","Davidson Trust Co."
"Community Bank Of Pickens County","30143","331756.0","1","35513","Community Bank Of Pickens County"
"Cheaha Bank","36203","191424.0","1","35514","Cheaha Bank"
"The Federal Savings Bank","60607","287704.0","1","35518","The Federal Savings Bank"
"North State Bank","27609","752368.0","1","35519","North State Bank"
"Insbank","37215","297046.0","1","35521","Insbank"
"Community Pride Bank","55040","100723.0","1","35524","Community Pride Bank"
"Fsgbank, National Association","37402","1098830.0","1","35525","Fsgbank, National Association"
"First Carolina Bank","27804","133519.0","1","35530","First Carolina Bank"
"First Electronic Bank","84070","11970.0","1","35533","First Electronic Bank"
"Bcb Community Bank","7002","1496928.0","1","35541","Bcb Community Bank"
"Bank Of Franklin County","63090","204411.0","1","35543","Bank Of Franklin County"
"Bofi Federal Bank","92122","5817321.0","1","35546","Bofi Federal Bank"
"Canyon Community Bank, National Association","85704","67612.0","1","35547","Canyon Community Bank, National Association"
"Kilgore National Bank","75662","84000.0","1","35548","Kilgore National Bank"
"Century Bank Of Florida","33612","70572.0","1","35558","Century Bank Of Florida"
"Foundation Bank","98004","434072.0","1","35566","Foundation Bank"
"American Bank & Trust Company, Inc.","42103","260080.0","1","35568","American Bank & Trust Company, Inc."
"Pinnacle Bank","37201","6496824.0","1","35583","Pinnacle Bank"
"Community First National Bank","66502","201346.0","1","35585","Community First National Bank"
"New Frontier Bank","63303","94064.0","1","35597","New Frontier Bank"
"Apollo Bank","33130","502211.0","1","35599","Apollo Bank"
"Country Trust Bank","61701","28845.0","1","35602","Country Trust Bank"
"Peoples Bank Of Middle Tennessee","37160","104493.0","1","35604","Peoples Bank Of Middle Tennessee"
"Atlantic Coast Bank","32256","809051.0","1","45826","Atlantic Coast Bank"
"Allied First Bank,sb","60543","119661.0","1","55130","Allied First Bank,sb"
"The Bank Of Clovis","88101","221773.0","1","57022","The Bank Of Clovis"
"American Heritage Bank","88101","84489.0","1","57025","American Heritage Bank"
"Carolina Trust Bank","28092","333414.0","1","57026","Carolina Trust Bank"
